FAZENDA,ESTADO,MUNICÍPIO,Nº ANIMAL,LOTE,RAÇA,CATEGORIA,ECC,CICLICIDADE,PROTOCOLO,IMPLANTE P4,EMPRESA,GnRH NA IA,PGF NO D0,Dose PGF retirada,Marca PGF retirada,Dose CE,eCG,DOSE eCG,TOURO,RAÇA TOURO,EMPRESA TOURO,INSEMINADOR,Nº da IATF,DG,VAZIA COM OU SEM CL,PERDA
Fazenda Santa Luzia,RJ,Salvador,300204,LT1104PA,Hereford,Primípara,2.7,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,eCGEN,200 UI,Touro5204,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4204,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300205,LT1105ES,Brangus,Multípara,3.1,1,8 dias,Fertilcare 600,MSD,0,1,1,Repro one,0.6 mg,Novormon,300 UI,Touro5205,Charolais,ABS Pecplan,Ricardo Santos,IATF 4205,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300206,LT1106SN,Charolais,Primípara precoce,3.3,0,9 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Folligon,300 UI,Touro5206,Senepol,CRV Lagoa,Joana Mendes,IATF 4206,1,1,0
Fazenda do Campo,MG,Uberlândia,300207,LT1107BV,Senepol,Multípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5207,Brahman,Alta Genetics,Carlos Silva,IATF 4207,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300208,LT1108DF,Hereford,Primípara,2.7,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5208,Brangus,ABS Pecplan,Mariana Oliveira,IATF 4208,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300209,LT1109PA,Brangus,Multípara,3.1,1,9 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5209,Charolais,CRV Lagoa,Ricardo Santos,IATF 4209,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300210,LT1110ES,Charolais,Primípara,3.3,0,7 dias,CIDR,Bayer,1,0,1,Repro one,0.6 mg,eCGEN,200 UI,Touro5210,Senepol,Alta Genetics,Joana Mendes,IATF 4210,1,1,0
Fazenda do Campo,MG,Uberlândia,300211,LT1111SN,Senepol,Multípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5211,Brahman,CRV Lagoa,Carlos Silva,IATF 4211,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300212,LT1112BV,Hereford,Primípara,2.7,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5212,Brangus,Alta Genetics,Mariana Oliveira,IATF 4212,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300213,LT1113DF,Brangus,Multípara,3.1,1,7 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5213,Charolais,CRV Lagoa,Joana Mendes,IATF 4213,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300214,LT1114PA,Charolais,Primípara precoce,3.3,0,8 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5214,Senepol,Alta Genetics,Carlos Silva,IATF 4214,1,1,0
Fazenda do Campo,MG,Uberlândia,300215,LT1115ES,Senepol,Multípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5215,Brahman,CRV Lagoa,Mariana Oliveira,IATF 4215,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300216,LT1116SN,Hereford,Primípara,2.7,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5216,Brangus,Alta Genetics,Joana Mendes,IATF 4216,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300217,LT1117BV,Brangus,Multípara,3.1,1,8 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5217,Charolais,CRV Lagoa,Carlos Silva,IATF 4217,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300218,LT1118DF,Charolais,Primípara precoce,3.3,0,9 dias,CIDR,Bayer,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5218,Senepol,Alta Genetics,Mariana Oliveira,IATF 4218,1,1,0
Fazenda do Campo,MG,Uberlândia,300219,LT1119PA,Senepol,Multípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5219,Brahman,CRV Lagoa,Joana Mendes,IATF 4219,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300220,LT1120ES,Hereford,Primípara,2.7,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5220,Brangus,Alta Genetics,Carlos Silva,IATF 4220,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300221,LT1121SN,Brangus,Multípara,3.1,1,9 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5221,Charolais,CRV Lagoa,Mariana Oliveira,IATF 4221,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300222,LT1122BV,Charolais,Primípara precoce,3.3,0,7 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5222,Senepol,Alta Genetics,Joana Mendes,IATF 4222,1,1,0
Fazenda do Campo,MG,Uberlândia,300223,LT1123DF,Senepol,Multípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5223,Brahman,CRV Lagoa,Carlos Silva,IATF 4223,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300224,LT1124PA,Hereford,Primípara,2.7,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5224,Brangus,Alta Genetics,Mariana Oliveira,IATF 4224,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300225,LT1125ES,Brangus,Multípara,3.1,1,7 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5225,Charolais,CRV Lagoa,Joana Mendes,IATF 4225,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300226,LT1126SN,Charolais,Primípara precoce,3.3,0,8 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5226,Senepol,Alta Genetics,Carlos Silva,IATF 4226,1,1,0
Fazenda do Campo,MG,Uberlândia,300227,LT1127BV,Senepol,Multípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5227,Brahman,CRV Lagoa,Mariana Oliveira,IATF 4227,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300228,LT1128DF,Hereford,Primípara,2.7,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5228,Brangus,Alta Genetics,Joana Mendes,IATF 4228,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300229,LT1129PA,Brangus,Multípara,3.1,1,8 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5229,Charolais,CRV Lagoa,Carlos Silva,IATF 4229,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300230,LT1130ES,Charolais,Primípara precoce,3.3,0,9 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5230,Senepol,Alta Genetics,Mariana Oliveira,IATF 4230,1,1,0
Fazenda do Campo,MG,Uberlândia,300231,LT1131SN,Senepol,Multípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5231,Brahman,CRV Lagoa,Joana Mendes,IATF 4231,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300232,LT1132BV,Hereford,Primípara,2.7,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5232,Brangus,Alta Genetics,Carlos Silva,IATF 4232,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300233,LT1133DF,Brangus,Multípara,3.1,1,9 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5233,Charolais,CRV Lagoa,Mariana Oliveira,IATF 4233,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300234,LT1134PA,Charolais,Primípara precoce,3.3,0,7 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5234,Senepol,Alta Genetics,Joana Mendes,IATF 4234,1,1,0
Fazenda do Campo,MG,Uberlândia,300235,LT1135ES,Senepol,Multípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5235,Brahman,CRV Lagoa,Carlos Silva,IATF 4235,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300236,LT1136SN,Hereford,Primípara,2.7,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5236,Brangus,Alta Genetics,Mariana Oliveira,IATF 4236,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300237,LT1137BV,Brangus,Multípara,3.1,1,7 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5237,Charolais,CRV Lagoa,Joana Mendes,IATF 4237,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300238,LT1138DF,Charolais,Primípara precoce,3.3,0,8 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5238,Senepol,Alta Genetics,Carlos Silva,IATF 4238,1,1,0
Fazenda do Campo,MG,Uberlândia,300239,LT1139PA,Senepol,Multípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5239,Brahman,CRV Lagoa,Mariana Oliveira,IATF 4239,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300240,LT1140ES,Hereford,Primípara,2.7,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5240,Brangus,Alta Genetics,Joana Mendes,IATF 4240,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300241,LT1141SN,Brangus,Multípara,3.1,1,8 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5241,Charolais,CRV Lagoa,Carlos Silva,IATF 4241,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300242,LT1142BV,Charolais,Primípara precoce,3.3,0,9 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5242,Senepol,Alta Genetics,Mariana Oliveira,IATF 4242,1,1,0
Fazenda do Campo,MG,Uberlândia,300243,LT1143DF,Senepol,Multípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5243,Brahman,CRV Lagoa,Joana Mendes,IATF 4243,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300244,LT1144PA,Hereford,Primípara,2.7,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5244,Brangus,Alta Genetics,Carlos Silva,IATF 4244,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300245,LT1145ES,Brangus,Multípara,3.1,1,9 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5245,Charolais,CRV Lagoa,Mariana Oliveira,IATF 4245,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300246,LT1146SN,Charolais,Primípara precoce,3.3,0,7 dias,Primer monodose,Agener,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5246,Senepol,Alta Genetics,Joana Mendes,IATF 4246,1,1,0
Fazenda do Campo,MG,Uberlândia,300247,LT1147BV,Senepol,Multípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5247,Brahman,CRV Lagoa,Carlos Silva,IATF 4247,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300248,LT1148DF,Hereford,Primípara,2.7,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5248,Brangus,Alta Genetics,Mariana Oliveira,IATF 4248,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300249,LT1149PA,Brangus,Multípara,3.1,1,7 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5249,Charolais,CRV Lagoa,Joana Mendes,IATF 4249,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300250,LT1150ES,Hereford,Primípara,2.7,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5250,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4250,0,0,1
Fazenda do Campo,BA,Campinas,300251,LT1201SN,Angus,Multípara,2.1,1,7 dias,Repro one,Globalgen,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5251,Nelore,Alta Genetics,Mariana Oliveira,IATF 4251,0,0,1
Fazenda Nova Vida,RJ,Salvador,300252,LT1202BV,Nelore,Secundípara,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5252,Hereford,CRV Lagoa,Carlos Silva,IATF 4252,1,1,0
Fazenda da Serra,MG,Uberlândia,300253,LT1203DF,Hereford,Primípara precoce,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5253,Brangus,Alta Genetics,Mariana Oliveira,IATF 4253,0,0,1
Fazenda Jardim,RS,Belo Horizonte,300254,LT1204PA,Brangus,Multípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Novormon,300 UI,Touro5254,Charolais,CRV Lagoa,Ricardo Santos,IATF 4254,1,1,0
Fazenda Santa Luzia,PR,Florianópolis,300255,LT1205ES,Hereford,Primípara,2.7,1,8 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Folligon,300 UI,Touro5255,Senepol,Alta Genetics,Joana Mendes,IATF 4255,0,0,1
Fazenda do Campo,BA,Campinas,300256,LT1206SN,Brangus,Multípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5256,Brahman,CRV Lagoa,Carlos Silva,IATF 4256,1,1,0
Fazenda Nova Vida,RJ,Florianópolis,300257,LT1207BV,Charolais,Primípara precoce,3.3,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5257,Senepol,Alta Genetics,Mariana Oliveira,IATF 4257,0,0,1
Fazenda da Serra,MG,Uberlândia,300258,LT1208DF,Senepol,Multípara,3.7,0,8 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5258,Brahman,CRV Lagoa,Ricardo Santos,IATF 4258,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300259,LT1209PA,Hereford,Primípara,2.7,1,9 dias,Primer monodose,Agener,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5259,Brangus,Alta Genetics,Joana Mendes,IATF 4259,0,0,1
Fazenda Santa Luzia,PR,Florianópolis,300260,LT1210ES,Brangus,Multípara,3.1,0,7 dias,Repro one,Globalgen,1,0,2,Primer monodose,0.5 mg,Folligon,300 UI,Touro5260,Charolais,CRV Lagoa,Carlos Silva,IATF 4260,1,1,0
Fazenda do Campo,BA,Campinas,300261,LT1211SN,Hereford,Primípara precoce,2.7,1,8 dias,Primer monodose,Agener,0,1,1+1,Lutalise,0.5 mg,Novormon,300 UI,Touro5261,Senepol,Alta Genetics,Mariana Oliveira,IATF 4261,0,0,1
Fazenda Nova Vida,RJ,Florianópolis,300262,LT1212BV,Brangus,Multípara,3.1,0,9 dias,Fertilcare 600,MSD,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5262,Brahman,CRV Lagoa,Carlos Silva,IATF 4262,1,1,0
Fazenda da Serra,MG,Uberlândia,300263,LT1213DF,Hereford,Primípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5263,Angus,Alta Genetics,Joana Mendes,IATF 4263,0,0,1
Fazenda Jardim,RS,Belo Horizonte,300264,LT1214PA,Brangus,Multípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Novormon,300 UI,Touro5264,Nelore,CRV Lagoa,Carlos Silva,IATF 4264,1,1,0
Fazenda Santa Luzia,PR,Florianópolis,300265,LT1215ES,Hereford,Primípara precoce,2.7,1,9 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5265,Brangus,Alta Genetics,Mariana Oliveira,IATF 4265,0,0,1
Fazenda do Campo,BA,Campinas,300266,LT1216SN,Brangus,Multípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5266,Brahman,CRV Lagoa,Joana Mendes,IATF 4266,1,1,0
Fazenda Nova Vida,RJ,Florianópolis,300267,LT1217BV,Hereford,Primípara,2.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5267,Angus,Alta Genetics,Carlos Silva,IATF 4267,0,0,1
Fazenda da Serra,MG,Uberlândia,300268,LT1218DF,Brangus,Multípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5268,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4268,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300269,LT1219PA,Hereford,Primípara precoce,2.7,1,7 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5269,Brangus,Alta Genetics,Joana Mendes,IATF 4269,0,0,1
Fazenda Santa Luzia,PR,Florianópolis,300270,LT1220ES,Brangus,Multípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5270,Charolais,CRV Lagoa,Carlos Silva,IATF 4270,1,1,0
Fazenda do Campo,BA,Campinas,300271,LT1221SN,Hereford,Primípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5271,Senepol,Alta Genetics,Mariana Oliveira,IATF 4271,0,0,1
Fazenda Nova Vida,RJ,Florianópolis,300272,LT1222BV,Brangus,Secundípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5272,Brahman,CRV Lagoa,Joana Mendes,IATF 4272,1,1,0
Fazenda da Serra,MG,Uberlândia,300273,LT1223DF,Hereford,Primípara precoce,2.7,1,8 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5273,Angus,Alta Genetics,Carlos Silva,IATF 4273,0,0,1
Fazenda Jardim,RS,Belo Horizonte,300274,LT1224PA,Brangus,Secundípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5274,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4274,1,1,0
Fazenda Santa Luzia,PR,Florianópolis,300275,LT1225ES,Hereford,Primípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5275,Brangus,Alta Genetics,Joana Mendes,IATF 4275,0,0,1
Fazenda do Campo,BA,Campinas,300276,LT1226SN,Brangus,Secundípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5276,Charolais,CRV Lagoa,Carlos Silva,IATF 4276,1,1,0
Fazenda Nova Vida,RJ,Florianópolis,300277,LT1227BV,Hereford,Primípara precoce,2.7,1,9 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5277,Senepol,Alta Genetics,Mariana Oliveira,IATF 4277,0,0,1
Fazenda da Serra,MG,Uberlândia,300278,LT1228DF,Brangus,Secundípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5278,Brahman,CRV Lagoa,Joana Mendes,IATF 4278,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300279,LT1229PA,Hereford,Primípara,2.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5279,Angus,Alta Genetics,Carlos Silva,IATF 4279,0,0,1
Fazenda Santa Luzia,PR,Florianópolis,300280,LT1230ES,Brangus,Secundípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5280,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4280,1,1,0
Fazenda do Campo,BA,Campinas,300281,LT1231SN,Hereford,Primípara precoce,2.7,1,7 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5281,Brangus,Alta Genetics,Joana Mendes,IATF 4281,0,0,1
Fazenda Nova Vida,RJ,Florianópolis,300282,LT1232BV,Brangus,Secundípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5282,Charolais,CRV Lagoa,Carlos Silva,IATF 4282,1,1,0
Fazenda da Serra,MG,Uberlândia,300283,LT1233DF,Hereford,Primípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5283,Senepol,Alta Genetics,Mariana Oliveira,IATF 4283,0,0,1
Fazenda Jardim,RS,Belo Horizonte,300284,LT1234PA,Brangus,Secundípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5284,Brahman,CRV Lagoa,Joana Mendes,IATF 4284,1,1,0
Fazenda Santa Luzia,PR,Florianópolis,300285,LT1235ES,Hereford,Primípara precoce,2.7,1,8 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5285,Angus,Alta Genetics,Carlos Silva,IATF 4285,0,0,1
Fazenda do Campo,BA,Campinas,300286,LT1236SN,Brangus,Secundípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5286,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4286,1,1,0
Fazenda Nova Vida,RJ,Florianópolis,300287,LT1237BV,Hereford,Primípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5287,Brangus,Alta Genetics,Joana Mendes,IATF 4287,0,0,1
Fazenda da Serra,MG,Uberlândia,300288,LT1238DF,Brangus,Secundípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5288,Charolais,CRV Lagoa,Carlos Silva,IATF 4288,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300289,LT1239PA,Hereford,Primípara precoce,2.7,1,9 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5289,Senepol,Alta Genetics,Mariana Oliveira,IATF 4289,0,0,1
Fazenda Santa Luzia,PR,Florianópolis,300290,LT1240ES,Brangus,Secundípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5290,Brahman,CRV Lagoa,Joana Mendes,IATF 4290,1,1,0
Fazenda do Campo,BA,Campinas,300291,LT1241SN,Hereford,Primípara,2.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5291,Angus,Alta Genetics,Carlos Silva,IATF 4291,0,0,1
Fazenda Nova Vida,RJ,Florianópolis,300292,LT1242BV,Brangus,Secundípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5292,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4292,1,1,0
Fazenda da Serra,MG,Uberlândia,300293,LT1243DF,Hereford,Primípara precoce,2.7,1,7 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5293,Brangus,Alta Genetics,Joana Mendes,IATF 4293,0,0,1
Fazenda Jardim,RS,Belo Horizonte,300294,LT1244PA,Brangus,Secundípara,3.1,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5294,Charolais,CRV Lagoa,Carlos Silva,IATF 4294,1,1,0
Fazenda Santa Luzia,PR,Florianópolis,300295,LT1245ES,Hereford,Primípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5295,Senepol,Alta Genetics,Mariana Oliveira,IATF 4295,0,0,1
Fazenda do Campo,BA,Campinas,300296,LT1246SN,Brangus,Secundípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5296,Brahman,CRV Lagoa,Joana Mendes,IATF 4296,1,1,0
Fazenda Nova Vida,RJ,Florianópolis,300297,LT1247BV,Hereford,Primípara precoce,2.7,1,8 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5297,Angus,Alta Genetics,Carlos Silva,IATF 4297,0,0,1
Fazenda da Serra,MG,Uberlândia,300298,LT1248DF,Brangus,Secundípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5298,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4298,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300299,LT1249PA,Hereford,Primípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5299,Brangus,Alta Genetics,Joana Mendes,IATF 4299,0,0,1
Fazenda Santa Luzia,PR,Florianópolis,300300,LT1250ES,Limousin,Secundípara,3.3,1,8 dias,Fertilcare 600,MSD,0,1,1,Repro one,0.5 mg,Folligon,300 UI,Touro5300,Hereford,CRV Lagoa,Joana Mendes,IATF 4300,0,0,1
